"VOG.number"	"Host.Domain"	"Number.of.Proteins"	"Number.of.Genomes"	"Number.of.Known.Virus.Families"	"Number.of.Known.Virus.Genera"	"Proteins.Annotations"	"Mapping.to.POGs.2013"	"Short.Annotations"	"FreqVir"	"FreqHost"	"Viral Quotient"
"4212"	"VOG4694"	"Bacteria+Archaea"	241	225	3	10	"hypothetical protein [n=55]; DNA adenine methylase [n=48]; DNA adenine methylase Dam [n=31]; DNA methylase [n=13]; methylase [n=9]; DNA adenine methyltransferase [n=8]; Dam [n=8]; DNA methyltransferase [n=7]; methyl-directed repair DNA adenine methylase [n=5]; putative DNA adenine methylase [n=5]; AdoMet-MTase [n=4]; site-specific DNA methylase [n=3]; Dam DNA adenine methylase [n=3]; putative methylase [n=2]; putative cytosine-specific protein [n=2]; Dam DNA adenine methyltransferase [n=2]; type II N-methyl DNA methyltransferase [n=2]; putative adenine methyltransferase [n=2]; Modification methylase FokI [n=2]; site-specific DNA methlyase [n=1]; putative adenine-specific methyltransferase [n=1]; site-specific DNA methylase Dam [n=1]; cytosine specific methyl transferase [n=1]; putative phage-related methyltransferase [n=1]; adenine-specific DNA methyltransferase [n=1]; putative cytosine specific DNA methyl transferase [n=1]; gp26 [n=1]; DNA adenine methylase gp25 [n=1]; phage-related adenine-specific DNA methyltransferase [n=1]; Dam modification methylase [n=1]; DNA adenine methylase [Escherichia phage e11/2] [n=1]; adenine specific DNA methyltransferase [n=1]; DNA adenine methylase family protein [n=1]; Putative DNA adenine methylase; Dam [n=1]; adenine-specific methylase [n=1]; adenine methyltransferase [n=1]; DNA adenine Methylase [n=1]; putative DNA polymerase [n=1]; N6-adenine DNA methyltransferase [n=1]; putative site-specific DNA methylase [n=1]; AB1gp56 [n=1]; putative adenine-specific DNA methyltransferase [n=1]; N6 adenine-specific DNA methyltransferase, N12 class [n=1]; modification methylase [n=1]; DNA adenine methylase-like protein [n=1]; D12 class N6 adenine-specific DNA methyltransferase [n=1]; putative modification methylase dpniia [n=1]; putative DNA methylase [n=1]; methyltransferase [n=1]; "	"Partial mapping to: POG0240"	NA	0.0762768817	0.3365403889	0.1847715373
"4213"	"VOG4695"	"Bacteria"	233	232	2	5	"baseplate wedge subunit [n=92]; baseplate wedge protein [n=33]; baseplate wedge [n=25]; hypothetical protein [n=24]; gp6 baseplate wedge subunit [n=12]; phage baseplate wedge [n=4]; gp6 [n=3]; putative baseplate wedge [n=3]; putative base plate wedget subunit protein [n=2]; baseplate J-like family protein [n=2]; BplA [n=2]; Gp6 baseplate wedge subunit [n=2]; gp6 baseplate wedge protein [n=2]; base plate wedge [n=2]; baseplate structural protein [n=1]; baseplate wedge subunit (baseplate J superfamily) [n=1]; gp17 [n=1]; gp6 base plate wedge [n=1]; putative base plate wedge subunit [n=1]; Baseplate structural protein BplA [n=1]; gp6 baseplate wedge [n=1]; gp6 base plate wedge [Enterobacteria phage RB14] [n=1]; base plate wedge [Enterobacteria phage RB32] [n=1]; putative baseplate J family protein [n=1]; phage baseplate wedge subunit (T4-like gp6) [n=1]; No annotation provided [n=1]; Putative baseplate wedge subunit [n=1]; phage baseplate wedge subunit Gp6 [n=1]; baseplate wedge subunit protein [n=1]; putative baseplate wedge subunit [n=1]; putative baseplate wedge subunit gp6 [n=1]; base plate wedge component [n=1]; "	"Partial mapping to: POG0229"	NA	0.0776209677	0	1
"4214"	"VOG4696"	"Bacteria"	224	224	2	5	"terminase small subunit [n=48]; terminase DNA packaging enzyme small subunit [n=38]; terminase DNA packaging protein [n=31]; small terminase protein [n=27]; gp16 terminase DNA packaging enzyme small subunit [n=10]; hypothetical protein [n=8]; Terminase DNA packaging enzyme [n=6]; terminase DNA packaging enzyme, small subunit [n=6]; terminase DNA packaging enzyme [n=6]; terminase subunit [n=4]; small terminase subunit [n=3]; phage terminase, small subunit [n=2]; terminase DNA packaging enzyme family protein [n=2]; gp16 terminase DNA packaging enzyme, small subunit [n=2]; putative terminase DNA packaging enzyme small subunit [n=2]; terminase DNA packaging enzyme small subunit [Escherichia phage wV7] [n=2]; phage terminase small subunit [n=2]; putative repressor [n=1]; Putative terminase DNA packaging enzyme small subunit [n=1]; Orf20 [n=1]; proximal tail sheath stabilization protein [n=1]; Gp16 terminase DNA packaging enzyme small subunit [n=1]; DNA-packaging protein [n=1]; Orf29 [n=1]; terminate small subunit [n=1]; putative terminase DNA packaging enzyme [n=1]; terminase [n=1]; small gp16 terminase DNA packaging enzyme [n=1]; gp16 terminase DNA packaging protein [n=1]; DNA terminase packaging enzyme small subunit [n=1]; gp16 small terminase protein [n=1]; unknown [n=1]; putative terminase small subunit gp16 [n=1]; terminus DNA packaging enzyme small subunit [n=1]; terminase, small subunit [n=1]; No annotation provided [n=1]; DNA terminase [n=1]; "	"Partial mapping to: POG1039"	"terminase"	0.0725806452	0.000200441	0.9972459745
"4215"	"VOG4697"	"Bacteria"	219	219	2	5	"tail completion and sheath stabilizer protein [n=67]; head-proximal tip of tail protein [n=31]; head-proximal tip of tail tube tail completion + sheath stabilizer protein [n=16]; tail completion protein [n=15]; hypothetical protein [n=15]; gp3 tail completion and sheath stabilizer protein [n=13]; tail completion and sheath stabilizer [n=11]; T4-like virus tail tube protein gp19 [n=6]; head-proximal tip of tail tube [n=5]; tail tube protein [n=5]; No annotation provided [n=4]; phage tail completion protein [n=4]; gp3 [n=2]; tail tube monomer [n=2]; head-proximal tip of tail tube completion + sheath stabilizer protein [n=2]; putative tail completion protein [n=2]; Probable phage tail completion and stabilizer protein [n=2]; Putative tail completion and sheath stabilizer protein [n=1]; sheath stabilizer protein [n=1]; putative tail completion & sheath stabilizer protein gp3 [n=1]; putative head proximal tip of tail tube protein [n=1]; tip of tail tube protein [n=1]; Gp3 tail completion and sheath stabilizer protein [n=1]; gp3 head-proximal tip of tail protein [n=1]; gp3 head-proximal tip of tail tube [n=1]; gp19 tail tube monomer protein [n=1]; tail completion and sheath stabilizer protein [Escherichia phage wV7] [n=1]; tail completion protein gp3 [n=1]; tail completrion and sheath stabiliser [n=1]; Gp3-tail completion [n=1]; gp3 tail completion and sheath stabilizer [n=1]; putative head-proximal tip of tail tube tail completion + sheath stabilizer protein [n=1]; putative tail completion and sheath stabilizer protein [n=1]; putative tail completion and tail stabilizer protein (T4 gp03-like) [n=1]; "	"Partial mapping to: POG1038"	"tail protein"	0.0759408602	0	1
"4216"	"VOG4698"	"Bacteria"	175	175	2	6	"RNA ligase [n=41]; RNA ligase 1 and tail fiber attachment catalyst [n=31]; RNA ligase A [n=28]; hypothetical protein [n=13]; RnlA RNA ligase 1 and tail fiber attachment catalyst [n=9]; putative RNA ligase/tail attachment protein [n=7]; RNA ligase 1 and tail attachment protein [n=6]; putative RNA ligase 1 and tail attachment protein [n=3]; No annotation provided [n=3]; putative RNA ligase [n=3]; RNA ligase 1 [n=3]; Probable phage RNA ligase [n=2]; putative RNA ligase 1 and tail fiber attachment catalyst [n=2]; putative RNA ligase and tail attachment protein [n=2]; Phi92_gp096 [n=1]; RNA ligase 1 and tail fiber attachment catalyst [Escherichia phage e11/2] [n=1]; RnlA [n=1]; RNA ligase, phage-associated #T4-like RnlA #T4 GC1653 [n=1]; putative RnlA RNA ligase and tail fiber attachment catalyst [n=1]; putative RNA ligase 1/tail attachment protein [n=1]; tail fiber attachment and RNA ligase [n=1]; RNA ligase I tail fiber attachment [n=1]; metallophosphoesterase [n=1]; gp265 [n=1]; RnlA RNA ligase [n=1]; putative RNA ligase A [n=1]; Putative RNA ligase 1 and tail fiber attachment catalyst; RnlA [n=1]; RNA ligase and tail attachment protein [n=1]; putative RNA ligase/RNA repair [n=1]; similar to RnlA RNA ligase 1 and tail fiber attachment catalyst [n=1]; putative RNA ligase and tail attachment protein [Escherichia phage vB_EcoM_FFH2] [n=1]; split RnlA RNA ligase 1 and tail fiber attachment catalyst [n=1]; RNA ligase 1 and tail fiber attachment catalyst [Escherichia phage wV7] [n=1]; RnlA RNA ligase 1 [n=1]; rnlA; RNA ligase [n=1]; putative RNA ligase I and tail attachment protein [n=1]; "	"Partial mapping to: POG0492"	"tail protein"	0.0584677419	0.0036079375	0.9418784056
"4217"	"VOG4699"	"Bacteria"	153	112	3	1	"hypothetical protein [n=94]; structural protein [n=12]; No annotation provided [n=10]; putative structural protein [n=9]; putative structural protein 2 [n=3]; tail tube protein [n=2]; putative tail tube [n=1]; gp74 [n=1]; Phage conserved protein [n=1]; gp63 [n=1]; phage protein [n=1]; putative phage structural protein [n=1]; tail tube protein [Escherichia phage vB_EcoM_FFH2] [n=1]; gp15 [n=1]; phage structure protein [n=1]; putative tail assembly protein [n=1]; Phi92_gp131 [n=1]; gp028 [n=1]; "	"Partial mapping to: POG1351"	"tail assembly protein"	0.0396505376	0.0118260172	0.7702640111
"4218"	"VOG4700"	"Bacteria"	147	147	3	6	"hypothetical protein [n=92]; Vs.1 conserved hypothetical protein [n=11]; Endoribonuclease RegB T4-bacteriophage encoded [n=6]; endoribonuclease [n=6]; Vs.1 [n=5]; transglycosylase SLT domain protein [n=5]; transglycosylase [n=3]; vs.1 hypothetical protein [n=3]; No annotation provided [n=2]; hypothetical protein Vs.1 [n=1]; protein RegB [n=1]; conserved uncharacterised protein [n=1]; endoribonuclease RegB domain-containing protein [n=1]; RegB site-specific RNA endonuclease [n=1]; hypothetical protein Vs.1 [Shigella phage Shfl2] [n=1]; site-specific RNA endonuclease [n=1]; Vs.1 conserved hypothetical phage protein [n=1]; conserved hypothetical protein [n=1]; gp093 [n=1]; Vs.1 conserved transglycosylase SLT domain protein [n=1]; putative RegB protein [n=1]; phage conserved protein [n=1]; predicted T4 endoribonuclease RegB [n=1]; "	"Partial mapping to: POG1454"	"nuclease"	0.0527553763	0.0172379234	0.7537203777
"4219"	"VOG4701"	"Bacteria"	120	120	3	5	"tail assembly protein [n=31]; tail protein [n=20]; putative tail assembly protein [n=12]; tail assembly protein I [n=10]; hypothetical protein [n=6]; putative tail assembly protein I [n=6]; tail component protein [n=2]; bacteriophage tail tip assembly protein; Lambda gpI homolog [n=2]; gp21 [n=2]; phage tail assembly protein [n=2]; putative tail component [n=2]; Bacteriophage lambda tail assembly protein I [n=2]; tail component [n=2]; gp20 [n=1]; putative phage tail protein [n=1]; putative tail component protein [n=1]; phage tail assembly protein I [n=1]; tail component I [n=1]; gp35 [n=1]; putative bacteriophage tail assembly protein I; Lambda gpI homolog [n=1]; putative tail protein [n=1]; tail assembly protein I. [n=1]; putative phage tail assembly protein I [n=1]; gp20, bacteriophage lambda tail assembly protein I [n=1]; Gp21 [n=1]; gp63 [n=1]; putative tail protein assembly I [n=1]; tail component protein gp18 [n=1]; gp19 [n=1]; gp49 [n=1]; putative lambda tail assembly protein I [n=1]; gp28 [n=1]; hypothetical tail assembly protein I [n=1]; Gp20 [n=1]; "	"Partial mapping to: POG0851"	"tail assembly protein"	0.0399865591	0.0246542393	0.6185963059
"4220"	"VOG4702"	"Bacteria"	111	111	1	2	"baseplate wedge subunit [n=69]; gp8 baseplate wedge subunit [n=11]; Bacteriophage T4, Gp8 [n=6]; hypothetical protein [n=4]; phage baseplate wedge [n=3]; baseplate structural protein [n=2]; gp8 baseplate wedge subunit [Enterobacteria phage T4] [n=2]; phage baseplate wedge subunit (T4-like gp8) [n=2]; putative baseplate wedge subunit [n=2]; baseplate wedge tail fiber connector [n=1]; gp8 base plate wedge [n=1]; baseplate wedge [n=1]; Putative baseplate wedge subunit [n=1]; base plate wedge [n=1]; No annotation provided [n=1]; baseplate wedge subunit protein [n=1]; baseplate wedge protein [n=1]; baseplate wedge component [n=1]; base plate wedge component [n=1]; "	"Partial mapping to: POG0455"	"portal"	0.0581317204	0	1
"4221"	"VOG4703"	"Bacteria"	111	111	2	2	"hypothetical protein [n=98]; a-gt.4 conserved hypothetical protein [n=4]; phage protein [n=2]; hypothetical protein a-gt.4 [Shigella phage Shfl2] [n=1]; putative 12.4 kDa protein [n=1]; No annotation provided [n=1]; conserved hypothetical protein [n=1]; gp74 [n=1]; a-gt.4 hypothetical protein [n=1]; hypothetical protein a-gt.4 [n=1]; "	"Partial mapping to: POG0710"	NA	0.0369623656	0	1
"4222"	"VOG4704"	"Bacteria"	108	108	3	5	"hypothetical protein [n=68]; structural protein [n=5]; head-tail joining protein [n=4]; putative head-tail joining protein [n=3]; virion structural protein [n=3]; No annotation provided [n=2]; virion protein [n=2]; ribonucleoside-triphosphate reductase [n=1]; Putative neck protein [n=1]; hypothetical protein ORF025 [n=1]; glutamate 5-kinase [n=1]; putative structural protein 2 [n=1]; structural phage protein [n=1]; conserved phage-related protein [n=1]; phage structural protein [n=1]; gp48 [n=1]; gp11 [n=1]; putative structural protein [n=1]; tail attachment protein [n=1]; hypothetical protein ORF014 [n=1]; putative tail protein [n=1]; gp39 [n=1]; "	"Partial mapping to: POG1529"	"joining"	0.0376344086	0.0126277811	0.748761819
"4223"	"VOG4705"	"Bacteria"	96	94	3	6	"hypothetical protein [n=52]; No annotation provided [n=8]; ORF088 [n=2]; Gp17 protein [n=2]; ORF084 [n=2]; XkdX-like protein [n=2]; ORF097 [n=2]; XkdX superfamily protein [n=2]; ORF089 [n=2]; gp22 [n=1]; gp429 [n=1]; ORF103 [n=1]; ORF104 [n=1]; gp51 [n=1]; similar to phage phi105 ORF44 [n=1]; ORF143 [n=1]; XkdX-related protein [n=1]; gp20 [n=1]; phi ETA orf 58-like protein [n=1]; ORF086 [n=1]; holin-associated protein [n=1]; ORF148 [n=1]; ORF096 [n=1]; ORF090 [n=1]; conserved hypothetical protein (XkdK-like) [n=1]; ORF099 [n=1]; "	"Partial mapping to: POG0310"	NA	0.0315860215	0.0032070555	0.9078248952
"4224"	"VOG4706"	"Bacteria"	94	94	1	1	"hypothetical protein [n=44]; RNA-DNA and DNA-DNA helicase [n=13]; UvsW.1 conserved hypothetical protein [n=6]; ATP-dependent DNA helicase UvsW [n=6]; DNA helicase [n=6]; ATP-dependent DNA helicase [n=3]; No annotation provided [n=2]; DNA helicase, phage-associated [n=2]; RNA-DNA and DNA-DNA helicase, ATPase [n=2]; UvsW RNA-DNA and DNA-DNA helicase, ATPase [Enterobacteria phage T4] [n=2]; putative split helicase [n=2]; putative RNA-DNA and DNA-DNA helicase ATPase [n=1]; ATP-dependent DNA helicase uvsW [n=1]; UvsW.1 hypothetical protein [n=1]; ATP-dependent DNA helicase UvsW domain-containing protein [n=1]; phage-associated DNA helicase [n=1]; RNA-DNA and DNA-DNA helicase ATPase [n=1]; "	"Partial mapping to: POG0472"	"head protein"	0.0349462366	0	1
"4225"	"VOG4707"	"Bacteria"	93	90	1	0	"putative endolysin [n=64]; putative amidase [n=14]; endolysin [n=4]; hypothetical protein [n=3]; Gp20 [n=2]; putative endolysiin [n=1]; gp20 [n=1]; gp24, lysin [n=1]; negative regulator of beta-lactamase expression [n=1]; lysin [n=1]; putative lysin [n=1]; "	"Partial mapping to: POG0110"	NA	0.028561828	0	1
"4226"	"VOG4708"	"Bacteria"	92	92	3	6	"RecE [n=18]; hypothetical protein [n=12]; putative exodeoxyribonuclease VIII [n=11]; exonuclease [n=9]; exodeoxyribonuclease VIII [n=8]; gp42 [n=4]; putative exonuclease VIII/RecE-like protein [n=4]; gp47 [n=3]; RecE exonuclease [n=3]; exodeoxyribonuclease [n=3]; putative exodeoxyribonuclease [n=2]; gp60 [n=1]; exodeoxyribonuclease 8 domain-containing protein [n=1]; gp28 [n=1]; exonuclease VIII [n=1]; conserved phage protein [n=1]; RecE exonuclease VIII [n=1]; putative exodeoxyribonuclease VIII (RecE) [n=1]; nucleic acid-binding protein [n=1]; RecE-like protein [n=1]; 5'-3' specific dsDNA exonuclease RecE [n=1]; No annotation provided [n=1]; 5'-3' exonuclease [n=1]; helicase/exonuclease VIII 5'-3' [n=1]; PDDEXK-like domain [n=1]; "	"Partial mapping to: POG1171"	"nuclease"	0.033938172	0.0316696733	0.5172883193
"4227"	"VOG4709"	"Bacteria"	92	92	1	1	"hypothetical protein [n=73]; gp55.2 conserved hypothetical protein [n=7]; gp55.2 hypothetical protein [n=6]; gp79 [n=1]; phage protein [n=1]; No annotation provided [n=1]; hypothetical protein [Escherichia phage wV7] [n=1]; gp55.2 [n=1]; conserved hypothetical protein [n=1]; "	"Partial mapping to: POG1687"	NA	0.03125	0	1
"4228"	"VOG4710"	"Bacteria"	90	90	3	4	"hypothetical protein [n=60]; putative structural protein [n=9]; virion protein [n=4]; gp08 [n=3]; structural protein [n=3]; No annotation provided [n=2]; BcepNY3gp07 [n=1]; gp49 [n=1]; gp21 [n=1]; Phage protein [n=1]; gp38 [n=1]; hypothetical protein ORF025 [n=1]; AB1gp12 [n=1]; "	"Partial mapping to: POG1918"	NA	0.032594086	0.0116255763	0.7370948654
"4229"	"VOG4711"	"Bacteria+Archaea"	85	84	2	4	"major capsid protein [n=25]; hypothetical protein [n=15]; major head protein [n=8]; capsid protein [n=5]; ORF013 [n=4]; major capsid subunit [n=4]; putative major capsid protein [n=3]; gp6 [n=2]; ORF014 [n=2]; ORF015 [n=2]; major structural protein 4 [n=1]; MHP [n=1]; putative major head protein [n=1]; Cps [n=1]; capsid subunit [n=1]; putative phage major capsid protein [n=1]; similar to phage B1 major head protein [n=1]; gp9 [n=1]; Capsid [n=1]; Major Capsid [n=1]; putative main capsid protein [n=1]; gp6.1 [n=1]; putative structural protein [n=1]; "	"Partial mapping to: POG2740"	"capsid"	0.0372983871	0.0052114652	0.8774057086
"4230"	"VOG4712"	"Bacteria"	83	83	1	2	"inhibitor of host transcription [n=42]; hypothetical protein [n=16]; Alc inhibitor of host transcription [n=11]; Alc [n=3]; No annotation provided [n=2]; transcription terminator [n=2]; alc inhibitor of host transcription [n=1]; RNA pol- and DNA-binding protein [n=1]; host transcription inhibitor [n=1]; alc [n=1]; putative Alc inhibitor of host transcription [Shigella phage Shfl2] [n=1]; inhibitor of host transcription [Escherichia phage e11/2] [n=1]; putative Alc inhibitor of host transcription [n=1]; "	"Partial mapping to: POG0491"	NA	0.029905914	0	1
"4231"	"VOG4713"	"Bacteria"	82	82	2	5	"hypothetical protein [n=38]; No annotation provided [n=8]; putative DNA packaging protein [n=4]; DNA packaging minor head protein [n=3]; DNA packaging protein [n=2]; conserved hypothetical protein [n=2]; head-tail connector [n=2]; head-tail connector protein [n=2]; unknown [n=2]; Phage gp6-like head-tail connector protein [n=1]; ORF38 [n=1]; ORF048 [n=1]; gp113 [n=1]; head-tail connector family protein [n=1]; ORF044 [n=1]; ORF042 [n=1]; phage related protein gp15 [n=1]; head-tail connector proteins [n=1]; orf12 [n=1]; head-tail adapter protein [n=1]; phi Mu50B-like protein [n=1]; head-tail connector domain protein [n=1]; ORF049 [n=1]; gp7 [n=1]; "	"Partial mapping to: POG0722"	"portal"	0.0329301075	0.0016035278	0.9535662044
"4232"	"VOG4714"	"Bacteria"	82	82	3	5	"ribonuclease H [n=20]; putative ribonuclease HI [n=10]; ribonuclease HI [n=9]; hypothetical protein [n=8]; putative ribonuclease H [n=5]; RNaseH [n=3]; RNase H family protein [n=2]; Rnase H [n=2]; RNAse [n=2]; putative RNaseH [n=2]; putative RNaseH ribonuclease [n=2]; putative RNase H1 [n=2]; ribonuclease [n=2]; RNase H [n=1]; gp131 [n=1]; ORF090 [n=1]; Phage ribonuclease H [n=1]; putative Ribonuclease HI [n=1]; gp104 [n=1]; RNAse H [n=1]; RNase HI [n=1]; putative RNase H [n=1]; RNAseH [n=1]; putative ribonuclease [n=1]; Rbn [n=1]; RNase H-like domain protein [n=1]; "	"Partial mapping to: POG0365"	NA	0.033938172	0.6975345761	0.0463970423
"4233"	"VOG4715"	"Bacteria"	82	82	2	1	"baseplate wedge protein [n=32]; baseplate wedge [n=27]; hypothetical protein [n=9]; baseplate wedge subunit [n=7]; gp8 [n=3]; gp8 baseplate wedge protein [n=1]; structural protein [n=1]; baseplate wedge subunit protein [n=1]; putative baseplate wedge [n=1]; "	"Partial mapping to: POG0455"	NA	0.0282258065	0	1
"4234"	"VOG4716"	"Bacteria"	81	81	1	4	"hypothetical protein [n=43]; ORF040 [n=3]; putative DNA-binding protein [n=3]; ORF045 [n=2]; phi PVL orf 50-like protein [n=2]; phi PVL orf 50 family protein [n=2]; PVL phage protein [n=2]; putative leukocidin protein [n=1]; ORF038 [n=1]; ORF022 [n=1]; conserved phage protein [n=1]; ORF035 [n=1]; ORF044 [n=1]; conserved hypothetical protein [n=1]; similar to phage phi PVL ORF50 [n=1]; DNA-binding protein [n=1]; ORF043 [n=1]; ORF027 [n=1]; PhiPVL ORF050 family protein [n=1]; ORF025 [n=1]; 77ORF041 [n=1]; phi PVL ORF 50 analogue [n=1]; ORF058 [n=1]; ORF026 [n=1]; ORF023 [n=1]; ORF041 [n=1]; ORF039 [n=1]; "	"Partial mapping to: POG0517"	NA	0.0272177419	0.0024052916	0.9188033314
"4235"	"VOG4717"	"Bacteria"	80	80	1	2	"hypothetical protein [n=67]; structural protein [n=3]; No annotation provided [n=2]; gp102 [n=1]; putative structural protein [n=1]; gp100 [n=1]; gp13.1 [n=1]; gp31 [n=1]; ORF041 [n=1]; virion component [n=1]; gp35 [n=1]; "	"Partial mapping to: POG0121"	NA	0.0302419355	0	1
"4236"	"VOG4718"	"Bacteria"	77	77	1	2	"hypothetical protein [n=69]; unknown [n=2]; No annotation provided [n=2]; e31 [n=1]; phage related protein [n=1]; phage protein [n=1]; group-specific phage protein [n=1]; "	"Partial mapping to: POG0633"	NA	0.0329301075	0.0026057326	0.9266731108
"4237"	"VOG4719"	"Bacteria"	77	77	1	1	"modifier of suppressor tRNAs [n=29]; hypothetical protein [n=17]; cef modifier of suppressor tRNAs [n=10]; modifier of suppressor T4 tRNAs [n=4]; cef [n=3]; modifier of supressor tRNAs [n=2]; cef protein [n=2]; modifier of suppressor T4 tRNAs [Enterobacteria phage RB14] [n=2]; putative modifier of suppressor tRNA's [n=1]; modifier of suppressor tRNA [n=1]; putative modifier of suppressor tRNAs [n=1]; putative cef modifier of suppressor tRNAs [n=1]; Cef [n=1]; gp23 [n=1]; putative modifier of suppressor T4 tRNAs [n=1]; Cef modifier of suppressor tRNAs [n=1]; "	"Partial mapping to: POG0301"	NA	0.0272177419	0	1
"4238"	"VOG4720"	"Bacteria"	74	74	3	7	"hypothetical protein [n=39]; gp111 [n=4]; DUF1937 protein [n=4]; gp112 [n=3]; gp56 [n=2]; gp109 [n=2]; gp113 [n=2]; gp110 [n=2]; hydrolase [n=1]; gp42 [n=1]; CMP N-glycosidase [n=1]; gp88 [n=1]; gp81 [n=1]; CMP N-glycosidase-like protein [n=1]; gp170 [n=1]; gp159 [n=1]; N-(deoxy)ribosyltransferase-like protein [n=1]; Gp58 [n=1]; gp161 [n=1]; gp043 [n=1]; nucleoside transferase domain protein [n=1]; gp57 [n=1]; endolysin [n=1]; "	"Partial mapping to: POG1253"	NA	0.0275537634	0.0058127881	0.8257899645
"4239"	"VOG4721"	"Bacteria"	73	73	1	1	"hypothetical protein [n=64]; Arn.4 conserved hypothetical protein [n=4]; arn.4 hypothetical protein [n=2]; No annotation provided [n=1]; hypothetical protein [Escherichia phage wV7] [n=1]; conserved hypothetical protein [n=1]; "	"Partial mapping to: POG2009"	NA	0.0268817204	0	1
"4240"	"VOG4722"	"Bacteria"	68	68	2	1	"hypothetical protein [n=42]; No annotation provided [n=5]; putative methyltransferase [n=2]; N6 adenine-specific DNA methyltransferase [n=2]; hyphothetical protein [n=1]; Phi92_gp121 [n=1]; putative capsid protein [n=1]; putative capsid and scaffold protein [n=1]; VHS1051 protein [n=1]; putative capsid and scaffold [n=1]; DNA methyltransferase [n=1]; "	"Partial mapping to: POG0747"	"scaffolding protein"	0.0241935484	0.0036079375	0.8702250131
"4241"	"VOG4723"	"Bacteria"	63	62	1	1	"hypothetical protein [n=19]; mRNA metabolism modulator [n=19]; putative mRNA metabolism modulator [n=4]; RNA metabolism moderator [n=3]; goF mRNA metabolism modulator [n=2]; protein comC-alpha [n=1]; No annotation provided [n=1]; putative RNA metabolism moderator [n=1]; goF mRNA metabolism modulator, putative [n=1]; RNA metabolism modulator [n=1]; mRNA metabolism modulator goF [n=1]; gp22 [n=1]; mRNA metabolism modulator [Enterobacteria phage ime09] [n=1]; mRNA metabolism moderator [n=1]; GoF putative mRNA metabolism modulator [n=1]; putative RNA metabolism modulator [n=1]; putative RNA metabolism moderator [Shigella phage Shfl2] [n=1]; "	"Partial mapping to: POG1840"	NA	0.0228494624	0	1
"4242"	"VOG4724"	"Bacteria"	61	61	2	3	"hypothetical protein [n=16]; 3D domain-containing protein [n=9]; L-alanoyl-D-glutamate peptidase [n=4]; putative cell wall-binding, peptidase-related domain protein [n=4]; putative L-alanoyl-D-glutamate peptidase [n=2]; 3D domain containing protein [n=2]; 3D domain protein [n=2]; peptidoglycan-binding protein [n=2]; peptidoglycan binding protein [n=1]; YorM-like protein [n=1]; cell-wall binding protein [n=1]; portal protein [n=1]; peptidase [n=1]; peptidoglyan binding protein [n=1]; gp11 [n=1]; cell wall-binding, peptidase-related domain protein [n=1]; gp2.8 [n=1]; 3D-domain containing protein [n=1]; murein transglycosylase A [n=1]; cell-wall-binding protein [n=1]; lytic transglycosylase [n=1]; No annotation provided [n=1]; peptidoglycan-binding domain-containing protein [n=1]; gp80 [n=1]; putaive cell wall binding protein [n=1]; gp26 [n=1]; cell wall-binding peptidase-related domain protein [n=1]; "	"Partial mapping to: POG0057"	"portal"	0.0208333333	0.0835838845	0.199520096
"4243"	"VOG4725"	"Bacteria"	61	61	1	1	"gp6 [n=13]; minor tail protein [n=12]; hypothetical protein [n=12]; gp3 [n=7]; structural protein [n=5]; minor tail subunit [n=5]; tail protein [n=3]; putative tail protein [n=1]; tail subunit [n=1]; gp2 [n=1]; gp7 [n=1]; "	"Partial mapping to: POG1588"	"tail protein"	0.0215053763	0	1
"4244"	"VOG4726"	"Bacteria"	58	58	1	1	"hypothetical protein [n=38]; HNS binding protein [n=8]; gp5.7 [n=6]; putative 5.7 kDa protein [n=2]; No annotation provided [n=1]; conserved hypotetical phage protein [n=1]; Phage HNS binding protein [n=1]; phage HNS binding protein [n=1]; "	"Partial mapping to: POG0027"	NA	0.0218413978	0.000200441	0.9909063408
"4245"	"VOG4727"	"Bacteria+Archaea"	58	57	1	2	"hypothetical protein [n=30]; HNS binding protein [n=8]; gp5.5 [n=7]; host protein H-NS-interacting protein [n=6]; host H-NS-interacting protein [n=2]; H-NS and tRNA binding protein [n=1]; Phage T7 superfamily gene 5.5 protein [n=1]; "	"Partial mapping to: POG2319"	NA	0.0188172043	0	1
"4246"	"VOG4728"	"Bacteria"	58	58	1	1	"hypothetical protein [n=26]; minor tail protein [n=7]; gp31 [n=6]; gp30 [n=6]; gp29 [n=5]; gp32 [n=5]; gp28 [n=1]; "	"Partial mapping to: POG1592"	"tail protein"	0.0218413978	0.000200441	0.9909063408
"4247"	"VOG4729"	"Bacteria"	57	55	2	3	"hypothetical protein [n=36]; tail assembly chaperone [n=10]; putative tail assembly chaperone [n=2]; putative tail assembly chaperone proteing [n=1]; No annotation provided [n=1]; gp12 [n=1]; gp69 [n=1]; tail assembly chaperone gp11 [n=1]; gp13, phage tail assembly chaperone [n=1]; phage tail assembly chaperone [n=1]; "	"Partial mapping to: POG0963"	"tail protein"	0.0174731183	0.0026057326	0.8702250131
