"VOG.number"	"Host.Domain"	"Number.of.Proteins"	"Number.of.Genomes"	"Number.of.Known.Virus.Families"	"Number.of.Known.Virus.Genera"	"Proteins.Annotations"	"Mapping.to.POGs.2013"	"Short.Annotations"
"1049"	"VOG1662"	"Bacteria"	66	66	1	1	"hypothetical protein [n=46]; gp79 [n=4]; gp80 [n=3]; gp70 [n=2]; gp78 [n=2]; gp74 [n=1]; gp83 [n=1]; gp77 [n=1]; gp82 [n=1]; No annotation provided [n=1]; gp75 [n=1]; gp81 [n=1]; gp86 [n=1]; gp66 [n=1]; "	"Mapped to: POG1662"	NA
"1050"	"VOG1663"	"Bacteria"	49	49	1	1	"hypothetical protein [n=31]; gp82 [n=3]; gp83 [n=2]; gp72 [n=2]; gp77 [n=1]; gp84 [n=1]; gp76 [n=1]; gp90 [n=1]; gp80 [n=1]; Hypothetical Protein [n=1]; gp86 [n=1]; gp78 [n=1]; gp73 [n=1]; gp85 [n=1]; gp81 [n=1]; "	"Mapped to: POG1663"	NA
"1051"	"VOG1666"	"Bacteria"	126	126	3	4	"hypothetical protein [n=75]; gp81 [n=4]; gp83 [n=4]; gp82 [n=4]; gp80 [n=3]; gp99 [n=3]; gp84 [n=3]; gp101 [n=3]; gp95 [n=2]; gp107 [n=2]; gp98 [n=2]; gp85 [n=2]; gp79 [n=2]; gp87 [n=2]; gp100 [n=2]; gp76 [n=1]; gp77 [n=1]; No annotation provided [n=1]; gp86 [n=1]; gp104 [n=1]; gp96 [n=1]; gp102 [n=1]; gp88 [n=1]; gp105 [n=1]; gp106 [n=1]; Hypothetical Protein [n=1]; gp103 [n=1]; gp94 [n=1]; "	"Mapped to: POG1666"	NA
"1052"	"VOG1668"	"Bacteria"	123	119	3	2	"hypothetical protein [n=83]; gp82 [n=6]; gp81 [n=5]; gp89 [n=5]; gp83 [n=5]; No annotation provided [n=2]; gp80 [n=2]; gp85 [n=2]; gp144 [n=1]; gp77 [n=1]; gp165 [n=1]; gp86 [n=1]; Hypothetical Protein [n=1]; gp91 [n=1]; gp88 [n=1]; gp84 [n=1]; putative tapemeasure protein [n=1]; tapemeasure protein [n=1]; gp73 [n=1]; gp78 [n=1]; gp94 [n=1]; "	"Mapped to: POG1668"	NA
"1053"	"VOG1669"	"Bacteria"	101	101	2	2	"hypothetical protein [n=64]; gp83 [n=6]; gp84 [n=3]; No annotation provided [n=3]; gp91 [n=2]; gp82 [n=2]; gp85 [n=2]; gp97 [n=1]; gp88 [n=1]; Hypothetical Protein [n=1]; gp98 [n=1]; gp93 [n=1]; gp89 [n=1]; gp81 [n=1]; gp96 [n=1]; gp79 [n=1]; gp76 [n=1]; gp90 [n=1]; gp80 [n=1]; "	"Mapped to: POG1669"	NA
"1054"	"VOG1670"	"Bacteria"	34	34	1	2	"hypothetical protein [n=26]; gp84 [n=2]; gp225 [n=1]; gp97 [n=1]; gp90 [n=1]; gp91 [n=1]; Hypothetical Protein [n=1]; gp92 [n=1]; "	"Mapped to: POG1670"	NA
"1055"	"VOG1673"	"Bacteria"	43	43	2	1	"hypothetical protein [n=31]; gp94 [n=3]; gp96 [n=1]; gp89 [n=1]; gp104 [n=1]; gp97 [n=1]; gp105 [n=1]; gp95 [n=1]; Hypothetical Protein [n=1]; gp101 [n=1]; gp99 [n=1]; "	"Mapped to: POG1673"	NA
"1056"	"VOG1675"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1675"	NA
"1057"	"VOG1676"	"Bacteria"	9	9	1	1	"hypothetical protein [n=9]; "	"Mapped to: POG1676"	NA
"1058"	"VOG1677"	"Bacteria"	4	4	1	1	"hypothetical protein [n=4]; "	"Mapped to: POG1677"	NA
"1059"	"VOG1678"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1678"	NA
"1060"	"VOG1680"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1680"	NA
"1061"	"VOG1681"	"Bacteria"	212	212	2	3	"translation repressor [n=31]; translation repressor protein [n=29]; translational repressor protein [n=23]; RegA [n=21]; translational repressor [n=20]; RegA translational repressor protein [n=12]; translation repressor of early genes [n=12]; hypothetical protein [n=8]; Bacteriophage translational regulator [n=6]; photosynthetic apparatus regulatory protein regA [n=5]; endoribonulcease translational repressor of early genes [n=4]; endoribonuclease [n=4]; translational regulator [n=3]; early gene translational repressor [n=2]; No annotation provided [n=2]; phage endoribonulcease translational repressor of early genes, regA [n=2]; RegA translational repressor [n=2]; translation repressor domain protein [n=2]; RegA translational repressor of early genes [n=2]; translational repressor of early genes [n=2]; Putative translational repressor; RegA [n=1]; endoribonulcease translational repressor of early genes RegA [n=1]; RegA endoribonulcease translational protein [n=1]; gp61 [n=1]; RegA protein [n=1]; RegA early gene translational repressor [n=1]; putative translation repressor [n=1]; putative uncharacterised protein [n=1]; endoribonulcease translational repressor of early genes regA [n=1]; putative rega translational repressor protein [n=1]; endoribonulcease [n=1]; regA gene product translational repressor [n=1]; putative translational repressor protein [n=1]; putative translational repressor protein RegA [n=1]; Endoribonulceases, translational repressor [n=1]; RegA-translational repressor [n=1]; translation repressor RegA [n=1]; RegA endoribonuclease [n=1]; putative rega translational repressor protein [Shigella phage Shfl2] [n=1]; "	"Mapped to: POG1681"	NA
"1062"	"VOG1682"	"Bacteria"	8	8	2	1	"hypothetical protein [n=4]; Orf22 [n=1]; unknown [n=1]; Orf23 [n=1]; gp45.2 conserved hypothetical protein [n=1]; "	"Mapped to: POG1682"	NA
"1063"	"VOG1683"	"Bacteria"	105	105	1	2	"hypothetical protein [n=85]; gp45.2 conserved hypothetical protein [n=9]; No annotation provided [n=3]; gp45.2 hypothetical protein [n=2]; gp66 [n=1]; hypothetical protein gp45.2 [n=1]; hypothetical protein [Escherichia phage wV7] [n=1]; gp45.2 hypothetical phage protein [n=1]; conserved hypothetical protein [n=1]; "	"Mapped to: POG1683"	NA
"1064"	"VOG1684"	"Bacteria"	96	96	1	1	"hypothetical protein [n=74]; a-gt.5 hypothetical protein [n=7]; a-gt.5 conserved hypothetical protein [n=6]; No annotation provided [n=5]; hypothetical protein a-gt.5 [n=1]; conserved hypothetical protein [n=1]; putative phage protein [Escherichia phage wV7] [n=1]; gp75 [n=1]; "	"Mapped to: POG1684"	NA
"1065"	"VOG1685"	"Bacteria"	22	22	1	1	"hypothetical protein [n=22]; "	"Union of: POG1685; POG1686"	NA
"1066"	"VOG1689"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1689"	NA
"1067"	"VOG1690"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1690"	NA
"1068"	"VOG1691"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1691"	NA
"1069"	"VOG1692"	"Bacteria"	4	3	1	1	"hypothetical protein [n=4]; "	"Mapped to: POG1692"	NA
"1070"	"VOG1693"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1693"	NA
"1071"	"VOG1694"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1694"	NA
"1072"	"VOG1695"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1695"	NA
"1073"	"VOG1696"	"Bacteria"	9	8	2	2	"hypothetical protein [n=7]; No annotation provided [n=1]; Phi92_gp228 [n=1]; "	"Mapped to: POG1696"	NA
"1074"	"VOG1697"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1697"	NA
"1075"	"VOG1698"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1698"	NA
"1076"	"VOG1699"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1699"	NA
"1077"	"VOG1700"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1700"	NA
"1078"	"VOG1701"	"Bacteria"	62	62	2	2	"hypothetical protein [n=54]; gp69 [n=4]; hypothetical cyanophage protein [n=2]; No annotation provided [n=1]; Hypothetical-Protein  [n=1]; "	"Mapped to: POG1701"	NA
"1079"	"VOG1702"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1702"	NA
"1080"	"VOG1703"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1703"	NA
"1081"	"VOG1706"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1706"	NA
"1082"	"VOG1707"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1707"	NA
"1083"	"VOG1708"	"Bacteria"	27	26	2	2	"hypothetical protein [n=27]; "	"Mapped to: POG1708"	NA
"1084"	"VOG1709"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1709"	NA
"1085"	"VOG1710"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1710"	NA
"1086"	"VOG1711"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1711"	NA
"1087"	"VOG1712"	"Bacteria"	4	4	2	1	"hypothetical protein [n=4]; "	"Mapped to: POG1712"	NA
"1088"	"VOG1713"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1713"	NA
"1089"	"VOG1714"	"Bacteria"	14	14	1	2	"hypothetical protein [n=13]; No annotation provided [n=1]; "	"Mapped to: POG1714"	NA
"1090"	"VOG1715"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1715"	NA
"1091"	"VOG1716"	"Bacteria"	6	6	1	1	"hypothetical protein [n=6]; "	"Mapped to: POG1716"	NA
"1092"	"VOG1717"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1717"	NA
"1093"	"VOG1718"	"Bacteria"	4	4	1	1	"hypothetical protein [n=4]; "	"Mapped to: POG1718"	NA
"1094"	"VOG1719"	"Bacteria"	13	13	2	2	"hypothetical protein [n=13]; "	"Mapped to: POG1719"	NA
"1095"	"VOG1720"	"Bacteria"	4	4	1	1	"hypothetical protein [n=4]; "	"Mapped to: POG1720"	NA
"1096"	"VOG1721"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1721"	NA
"1097"	"VOG1724"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Union of: POG1724; POG1723"	NA
"1098"	"VOG1725"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1725"	NA
"1099"	"VOG1726"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1726"	NA
"1100"	"VOG1727"	"Bacteria"	4	4	1	1	"hypothetical protein [n=4]; "	"Mapped to: POG1727"	NA
"1101"	"VOG1728"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1728"	NA
"1102"	"VOG1729"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1729"	NA
"1103"	"VOG1730"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1730"	NA
"1104"	"VOG1731"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1731"	NA
"1105"	"VOG1732"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1732"	NA
"1106"	"VOG1733"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1733"	NA
"1107"	"VOG1734"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1734"	NA
"1108"	"VOG1735"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1735"	NA
"1109"	"VOG1736"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1736"	NA
"1110"	"VOG1737"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1737"	NA
"1111"	"VOG1738"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1738"	NA
"1112"	"VOG1739"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1739"	NA
"1113"	"VOG1740"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; "	"Mapped to: POG1740"	NA
"1114"	"VOG1741"	"Bacteria"	13	13	1	2	"hypothetical protein [n=13]; "	"Mapped to: POG1741"	NA
"1115"	"VOG1742"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1742"	NA
"1116"	"VOG1743"	"Bacteria"	10	10	1	2	"hypothetical protein [n=10]; "	"Mapped to: POG1743"	NA
"1117"	"VOG1744"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1744"	NA
"1118"	"VOG1745"	"Bacteria"	4	4	1	1	"hypothetical protein [n=4]; "	"Mapped to: POG1745"	NA
"1119"	"VOG1746"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1746"	NA
"1120"	"VOG1747"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1747"	NA
"1121"	"VOG1748"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1748"	NA
"1122"	"VOG1749"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1749"	NA
"1123"	"VOG1750"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1750"	NA
"1124"	"VOG1751"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1751"	NA
"1125"	"VOG1752"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1752"	NA
"1126"	"VOG1753"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1753"	NA
"1127"	"VOG1754"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1754"	NA
"1128"	"VOG1755"	"Bacteria"	6	6	1	1	"hypothetical protein [n=6]; "	"Mapped to: POG1755"	NA
"1129"	"VOG1756"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1756"	NA
"1130"	"VOG1757"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1757"	NA
"1131"	"VOG1760"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Union of: POG1760; POG1759; POG1758"	NA
"1132"	"VOG1761"	"Bacteria"	4	4	1	1	"hypothetical protein [n=3]; gp234 [n=1]; "	"Mapped to: POG1761"	NA
"1133"	"VOG1762"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1762"	NA
"1134"	"VOG1763"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1763"	NA
"1135"	"VOG1764"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1764"	NA
"1136"	"VOG1765"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1765"	NA
"1137"	"VOG1766"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1766"	NA
"1138"	"VOG1768"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1768"	NA
"1139"	"VOG1769"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1769"	NA
"1140"	"VOG1770"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1770"	NA
"1141"	"VOG1771"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1771"	NA
"1142"	"VOG1772"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1772"	NA
"1143"	"VOG1773"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1773"	NA
"1144"	"VOG1774"	"Bacteria"	8	8	2	1	"hypothetical protein [n=8]; "	"Mapped to: POG1774"	NA
"1145"	"VOG1775"	"Bacteria"	64	64	1	2	"hypothetical protein [n=55]; No annotation provided [n=2]; rI.1 conserved hypothetical protein [n=2]; rI.1 hypothetical protein [n=2]; conserved hypothetical protein [n=1]; hypothetical protein rI.1 [n=1]; hypothetical protein rI.1 [Shigella phage Shfl2] [n=1]; "	"Mapped to: POG1775"	NA
"1146"	"VOG1776"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1776"	NA
"1147"	"VOG1777"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1777"	NA
"1148"	"VOG1778"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1778"	NA
"1149"	"VOG1779"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1779"	NA
"1150"	"VOG1780"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1780"	NA
"1151"	"VOG1781"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1781"	NA
"1152"	"VOG1782"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1782"	NA
"1153"	"VOG1783"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1783"	NA
"1154"	"VOG1784"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1784"	NA
"1155"	"VOG1785"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1785"	NA
"1156"	"VOG1786"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1786"	NA
"1157"	"VOG1787"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1787"	NA
"1158"	"VOG1788"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1788"	NA
"1159"	"VOG1789"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1789"	NA
"1160"	"VOG1790"	"Bacteria"	18	18	1	2	"hypothetical protein [n=16]; No annotation provided [n=2]; "	"Mapped to: POG1790"	NA
"1161"	"VOG1791"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1791"	NA
"1162"	"VOG1792"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1792"	NA
"1163"	"VOG1793"	"Bacteria"	5	5	1	1	"hypothetical protein [n=4]; major capsid protein [n=1]; "	"Mapped to: POG1793"	"capsid"
"1164"	"VOG1794"	"Bacteria"	4	4	1	1	"hypothetical protein [n=4]; "	"Mapped to: POG1794"	NA
"1165"	"VOG1795"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1795"	NA
"1166"	"VOG1796"	"Bacteria"	13	13	1	2	"hypothetical protein [n=13]; "	"Mapped to: POG1796"	NA
"1167"	"VOG1797"	"Bacteria"	4	4	1	1	"hypothetical protein [n=4]; "	"Mapped to: POG1797"	NA
"1168"	"VOG1798"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1798"	NA
"1169"	"VOG1799"	"Bacteria"	109	109	1	2	"hypothetical protein [n=35]; chaperone for tail fiber formation [n=34]; gp57A chaperone for tail fiber formation [n=14]; tail fiber chaperone [n=3]; chaperone long and short tail fiber assembly [n=2]; No annotation provided [n=2]; gp57A [n=2]; tail fiber assembly protein [n=2]; gp57A chaperone long and short tail fiber assembly [n=2]; putative chaperone long and short tail fiber assembly protein [n=1]; chaperone for tail fiber [n=1]; tail fiber assembly helper domain-containing protein [n=1]; Putative chaperone for tail fiber formation [n=1]; putative chaperone long and short tail fiber [n=1]; tail fiber assembly helper protein [n=1]; chaperone for long tail fiber formation [n=1]; phage tail assembly [n=1]; 57A chaperone for long tail fiber formation [n=1]; gp57A chaperone long and short tail fiber assembly [Enterobacteria phage RB51] [n=1]; gp57A chaperone [n=1]; chaperone [n=1]; "	"Mapped to: POG1799"	"tail protein"
"1170"	"VOG1800"	"Bacteria"	6	6	1	1	"hypothetical protein [n=6]; "	"Mapped to: POG1800"	NA
"1171"	"VOG1801"	"Bacteria"	98	98	2	4	"base plate hub assembly catalyst [n=30]; hypothetical protein [n=24]; No annotation provided [n=14]; gp51 [n=12]; baseplate hub assembly catalyst [n=11]; baseplate hub assembly catalyst protein [n=2]; putative base plate hub assembly catalyst [n=1]; baseplate hub subunit assembly catalyst [n=1]; putative baseplate hub catalyst [n=1]; base plate hub assembly catalyst gp51 [n=1]; putative baseplate hub assembly catalyst [n=1]; "	"Mapped to: POG1801"	NA
"1172"	"VOG1803"	"Bacteria"	114	113	1	3	"hypothetical protein [n=100]; structural protein [n=5]; hypothetical cyanophage protein [n=2]; putative baseplate hub subunit gp27 [n=1]; No annotation provided [n=1]; Hypothetical-Protein  [n=1]; baseplate wedge subunit [n=1]; baseplate hub protein [n=1]; putative structural protein [n=1]; "	"Mapped to: POG1803"	NA
"1173"	"VOG1807"	"Bacteria"	6	6	1	1	"hypothetical protein [n=6]; "	"Mapped to: POG1807"	NA
"1174"	"VOG1808"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1808"	NA
"1175"	"VOG1809"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1809"	NA
"1176"	"VOG1810"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1810"	NA
"1177"	"VOG1811"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"Mapped to: POG1811"	NA
"1178"	"VOG1813"	"Bacteria"	34	34	2	4	"hypothetical protein [n=32]; conserved uncharacterised protein [n=1]; No annotation provided [n=1]; "	"Mapped to: POG1813"	NA
"1179"	"VOG1814"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1814"	NA
"1180"	"VOG1815"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1815"	NA
"1181"	"VOG1816"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1816"	NA
"1182"	"VOG1817"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1817"	NA
"1183"	"VOG1818"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1818"	NA
"1184"	"VOG1819"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1819"	NA
"1185"	"VOG1820"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1820"	NA
"1186"	"VOG1821"	"Bacteria"	108	108	1	2	"hypothetical protein [n=93]; UvsY.-2 conserved hypothetical protein [n=5]; No annotation provided [n=3]; UvsY.-2 [n=2]; UvsY-2 [n=1]; phage protein [n=1]; conserved hypothetical protein [n=1]; UvsY.2 [n=1]; hypothetical protein Shfl2p185 [Shigella phage Shfl2] [n=1]; "	"Mapped to: POG1821"	NA
"1187"	"VOG1823"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1823"	NA
"1188"	"VOG1824"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1824"	NA
"1189"	"VOG1825"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1825"	NA
"1190"	"VOG1826"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1826"	NA
"1191"	"VOG1827"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1827"	NA
"1192"	"VOG1828"	"Bacteria"	4	4	1	1	"hypothetical protein [n=4]; "	"Mapped to: POG1828"	NA
"1193"	"VOG1829"	"Bacteria"	109	109	1	2	"head assembly cochaperone with GroEL [n=27]; gp31 head assembly cochaperone with GroEL [n=15]; capsid and scaffold protein [n=12]; head assembly chaperone protein [n=7]; Chaperonin 10 Kd subunit [n=6]; co-chaperonin for GroEL [n=5]; gp31 co-chaperonin for GroEL [n=3]; head assembly cochaperone [n=3]; hypothetical protein [n=3]; chaperonin 10 Kd subunit [n=3]; head assembly cochaperone with GroE [n=2]; phage head assembly chaperone protein [n=2]; Gp31 [n=2]; gp31 [n=2]; gp31 head assembly co-chaperonin for GroEL [Enterobacteria phage RB14] [n=2]; gp31 head assembly co-chaperonin for GroEL [n=2]; head assembly cochaperone protein [n=2]; head assembly cochaperone with GroES [n=1]; head assembly chaperone with GroEL [n=1]; putative head assembly cochaperone with GroEL [n=1]; head assembly co-chaperonin for GroEL [n=1]; phage capsid and scaffold protein [n=1]; head assembly co-chaperonin [n=1]; co-chaperone for GroEL [n=1]; No annotation provided [n=1]; capsid assembly protein [n=1]; co-chaperonin [n=1]; Putative head assembly cochaperone [n=1]; "	"Mapped to: POG1829"	"scaffolding protein"
"1194"	"VOG1831"	"Bacteria"	118	118	2	3	"hypothetical protein [n=67]; tail fiber protein [n=14]; gp31.1 conserved hypothetical protein [n=13]; gp31.1 hypothetical protein [n=2]; conserved hypothetical protein [n=1]; phage tail fiber protein [n=1]; phage tail fibers [n=1]; No annotation provided [n=1]; gp31.1 conserverd hypothetical protein [n=1]; hypothetical protein [Escherichia phage e11/2] [n=1]; gp31.1 [n=1]; "	"Mapped to: POG1831"	"tail protein"
"1195"	"VOG1832"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1832"	NA
"1196"	"VOG1833"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1833"	NA
"1197"	"VOG1834"	"Bacteria"	5	5	1	1	"hypothetical protein [n=5]; "	"Mapped to: POG1834"	NA
"1198"	"VOG1835"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1835"	NA
"1199"	"VOG1836"	"Bacteria"	120	120	2	3	"hypothetical protein [n=62]; PseT.2 conserved hypothetical protein [n=14]; outer membrane lipoprotein Rz1 [n=13]; o-spanin [n=7]; No annotation provided [n=3]; pseT.2 hypothetical protein [n=3]; phage outer membrane lipoprotein Rz1 [n=3]; PseT.2 [n=3]; hypothetical protein Shfl2p225 [Shigella phage Shfl2] [n=1]; pseT.2 conserved hypothetical protein [n=1]; outer membrane lipoprotein [n=1]; signal-peptide domain-containing protein [n=1]; conserved hypothetical protein [n=1]; conserved hypothetical predicted membrane protein [n=1]; PseT.2 conserved hypothetical phage protein [n=1]; pseT.2 [n=1]; putative membrane protein [n=1]; "	"Mapped to: POG1836"	NA
"1200"	"VOG1837"	"Bacteria"	118	118	2	3	"hypothetical protein [n=68]; PseT.3 conserved hypothetical predicted membrane protein [n=10]; putative membrane protein [n=9]; i-spanin [n=8]; predicted membrane protein [n=4]; PseT.3 [n=3]; PseT.3 conserved hypothetical protein [n=3]; No annotation provided [n=2]; pseT.3 hypothetical membrane protein [n=2]; PseT.3 conserved hypothetical membrane-like protein [n=1]; phage spanin Rz [n=1]; conserved hypothetical predicted membrane protein [n=1]; putative membrane protein [Enterobacteria phage ime09] [n=1]; hypothetical membrane protein [n=1]; Rz protein [n=1]; putative membrane protein spanin Rz [n=1]; "	"Mapped to: POG1837"	NA
"1201"	"VOG1838"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1838"	NA
"1202"	"VOG1839"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG1839"	NA
